innvandring,kjonn,alder,tillit,utdanning,venstre_hoyre
8,Male,58,7,Forkurs til universitet/høgskole som ikke gir studiepoeng,5
8,Female,87,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",2
3,Male,56,1,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
9,Female,58,6,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",2
5,Male,70,9,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
6,Female,72,6,Barneskole (første del av obligatorisk utdanning),5
6,Female,19,3,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",2
5,Female,34,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",3
7,Male,55,8,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",3
5,Male,22,8,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",3
5,Male,42,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",3
6,Female,22,6,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",2
7,Male,43,3,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",4
6,Female,70,5,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",6
6,Female,70,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
5,Male,64,4,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",7
2,Female,54,No trust at all,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
3,Male,48,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
4,Male,49,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",6
4,Male,75,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",4
9,Male,16,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
5,Male,16,8,Barneskole (første del av obligatorisk utdanning),7
7,Female,37,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",Right
6,Male,48,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",7
8,Female,34,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",3
5,Male,39,2,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",2
7,Male,18,8,Barneskole (første del av obligatorisk utdanning),6
8,Male,61,6,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",5
0,Male,30,2,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",Right
5,Male,54,8,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",5
3,Male,21,3,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",8
5,Male,62,8,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",Right
5,Female,15,9,Barneskole (første del av obligatorisk utdanning),5
5,Male,39,3,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",8
7,Female,21,7,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",2
5,Female,55,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",8
7,Male,31,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
7,Male,39,7,Forkurs til universitet/høgskole som ikke gir studiepoeng,1
5,Female,62,3,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",3
5,Female,39,2,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",Left
5,Male,62,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
5,Male,61,8,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",4
5,Female,62,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",9
7,Male,24,3,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
5,Female,23,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",6
6,Male,29,4,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",3
NA,Female,26,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
5,Female,45,4,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",5
7,Male,23,3,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",6
7,Male,35,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",Left
6,Male,62,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
7,Female,62,4,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",7
9,Male,35,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",8
5,Female,46,5,Other,7
5,Female,42,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",2
8,Female,36,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
9,Female,53,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",5
8,Female,66,3,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",5
5,Male,68,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",Right
7,Female,69,8,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",8
8,Male,46,6,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",5
8,Female,44,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",2
6,Male,63,5,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",Left
8,Male,49,5,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",2
3,Male,53,1,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
8,Male,48,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",4
8,Female,42,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
7,Male,58,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",4
9,Female,36,5,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",3
5,Male,49,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",3
NA,Male,75,8,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",2
8,Male,32,3,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",7
7,Male,63,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
7,Male,22,3,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
5,Male,60,5,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",2
3,Female,61,3,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",7
0,Male,66,No trust at all,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
1,Female,53,No trust at all,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",2
5,Male,57,5,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",4
8,Female,23,3,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",Left
2,Female,67,2,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",7
5,Female,54,3,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",8
5,Female,22,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
9,Female,63,6,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",2
10,Female,38,7,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",Right
4,Male,58,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
4,Male,53,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
7,Female,24,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
10,Male,35,3,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",1
7,Female,50,2,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",7
7,Male,37,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",2
3,Male,81,2,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",Right
5,Male,21,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",7
7,Male,68,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",Right
8,Male,23,5,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",3
5,Male,56,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
9,Female,19,9,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",Left
10,Male,31,No trust at all,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",2
9,Female,55,7,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",2
9,Female,90,5,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",7
9,Male,34,6,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",6
7,Male,66,3,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",3
5,Female,37,5,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",5
6,Female,27,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",NA
5,Male,51,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",2
10,Female,26,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",2
3,Male,60,6,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",2
9,Female,33,5,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",4
4,Female,60,2,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",4
6,Female,27,4,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
9,Female,NA,5,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",5
8,Female,23,6,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",2
5,Female,63,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",4
8,Female,17,7,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",4
7,Female,29,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",3
7,Female,60,5,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",8
5,Female,90,8,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",7
10,Female,41,NA,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
5,Female,28,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",3
8,Male,33,4,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",NA
4,Female,36,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
7,Female,41,7,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",3
5,Female,35,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",4
5,Male,49,8,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
7,Male,62,4,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",5
8,Male,26,9,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",4
6,Male,78,7,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",5
5,Male,59,8,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",8
5,Male,72,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",1
7,Male,58,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
10,Male,28,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
5,Male,33,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",8
4,Male,62,5,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",5
8,Male,74,4,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",7
3,Female,47,2,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
6,Female,30,8,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",5
6,Male,33,3,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",5
7,Female,41,7,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",7
10,Female,41,3,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",4
8,Male,16,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
7,Female,75,2,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",1
3,Male,30,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",9
5,Male,23,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
9,Female,41,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",3
7,Female,51,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",2
7,Male,16,6,Barneskole (første del av obligatorisk utdanning),3
7,Male,33,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",6
7,Male,39,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
7,Female,68,4,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",2
6,Male,74,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",8
2,Male,44,No trust at all,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",8
5,Male,52,5,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",1
3,Male,42,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
5,Female,43,2,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
6,Male,70,1,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",6
5,Male,20,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",6
8,Male,67,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",1
7,Female,68,4,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",4
7,Female,71,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",3
6,Female,72,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
5,Male,60,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",6
5,Male,27,1,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",NA
7,Male,43,3,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",4
5,Male,16,8,Barneskole (første del av obligatorisk utdanning),6
5,Male,37,4,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",4
5,Female,32,4,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",3
8,Male,71,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
5,Male,22,5,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",7
9,Male,40,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
0,Male,25,No trust at all,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",Left
7,Female,30,5,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",4
8,Female,43,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",4
10,Female,69,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",2
5,Male,26,2,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",7
7,Female,71,3,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",2
5,Female,19,9,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
8,Male,35,4,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",2
5,Male,56,4,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",8
5,Male,31,4,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",4
7,Female,57,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",6
5,Male,NA,7,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",8
8,Male,62,6,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",3
7,Female,35,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",4
NA,Female,48,5,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",3
7,Male,58,1,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",2
3,Male,47,No trust at all,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",6
4,Male,64,8,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",8
8,Male,63,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",8
7,Female,75,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",4
5,Male,39,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
3,Male,28,No trust at all,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",9
8,Male,69,7,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",4
6,Female,18,7,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",7
4,Female,79,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",9
7,Female,62,4,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",3
5,Female,52,8,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",4
4,Female,71,8,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",8
8,Male,44,6,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",5
5,Male,46,5,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",9
5,Male,71,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",8
2,Female,48,5,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",8
7,Female,16,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",3
7,Male,64,7,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",6
1,Male,43,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",Right
5,Female,51,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",6
7,Male,60,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",3
4,Male,50,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",7
0,Male,44,1,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",4
8,Female,23,7,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",4
5,Male,NA,5,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",2
4,Male,67,7,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",7
0,Male,35,3,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",6
7,Male,19,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
8,Female,16,6,Barneskole (første del av obligatorisk utdanning),4
10,Female,17,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",Left
0,Male,60,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
4,Male,25,7,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",7
8,Female,22,9,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",4
9,Female,40,6,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",2
8,Male,36,8,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",1
6,Male,75,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",2
3,Female,39,4,"Forskernivå (Doktorgrad, Ph.d.)",9
3,Male,54,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",4
9,Female,63,7,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",Left
5,Male,52,5,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",2
10,Female,15,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
5,Female,47,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",6
5,Male,35,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
7,Female,80,4,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",2
5,Female,53,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",2
6,Female,49,6,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",2
8,Female,24,8,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",2
3,Male,66,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",3
7,Male,55,6,"Forskernivå (Doktorgrad, Ph.d.)",2
5,Male,53,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",3
9,Male,58,8,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",6
8,Male,35,6,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",4
7,Female,49,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",3
7,Male,58,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
5,Male,77,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",4
3,Male,85,3,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",3
7,Male,22,9,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",6
5,Male,23,7,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",6
8,Male,21,8,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
6,Female,16,7,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",Right
5,Male,26,5,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",7
7,Female,48,6,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",2
8,Female,34,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
2,Female,29,2,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
8,Male,65,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
8,Female,25,9,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",2
7,Male,56,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",9
7,Male,41,4,"Forskernivå (Doktorgrad, Ph.d.)",4
7,Female,31,6,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",3
6,Male,31,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",8
2,Male,60,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",2
8,Male,35,4,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",3
4,Male,47,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",6
9,Female,29,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",1
8,Male,29,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",7
5,Female,53,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",2
3,Male,NA,4,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",6
5,Male,38,7,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",8
8,Male,19,5,Vitnemål fra folkehøgskole,3
5,Female,NA,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",3
8,Male,34,Complete trust,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",2
7,Female,72,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",8
5,Male,60,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
8,Male,46,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
5,Male,32,1,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
6,Male,25,6,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",7
10,Male,33,7,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",3
9,Male,58,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",2
5,Female,55,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
5,Male,32,5,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",7
5,Female,44,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",5
4,Female,80,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",8
9,Male,17,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",NA
5,Male,23,5,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",3
7,Female,71,6,Vitnemål fra folkehøgskole,8
5,Male,68,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",3
5,Female,19,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
8,Male,40,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",NA
5,Male,66,2,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",5
4,Male,NA,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",8
5,Male,86,8,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",9
8,Female,71,7,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",1
5,Male,56,2,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
